season,end_year,rescues,preventative_actions,first_aids,beach_attendance,nsw_rescues_total,source_title,source_url,source_page
2016/17,2017,1801,32141,4857,1607246,4966,Surf Life Saving NSW Annual Report 2016/17,https://www.surflifesaving.com.au/wp-content/uploads/sites/2/2017/11/2017-SLSNSW-Annual-Report.pdf,75
2017/18,2018,1547,39748,4226,1423861,4377,Surf Life Saving NSW Annual Report 2017/18,https://www.surflifesaving.com.au/wp-content/uploads/sites/2/2021/07/2017-18-SLSNSW-Annual-Report_0.pdf,95
2019/20,2020,747,70407,1910,1263363,2526,Surf Life Saving NSW Annual Report 2019/20,https://www.surflifesaving.com.au/wp-content/uploads/sites/2/2021/07/2020-Annual-Report.pdf,89
2022/23,2023,1284,,2173,1801931,3505,Surf Life Saving NSW Annual Report 2022/23,https://www.surflifesaving.com.au/wp-content/uploads/sites/2/2023/10/2023-Surf-Life-Saving-NSW-Annual-Report.pdf,79
2023/24,2024,1166,44512,3129,1759273,3222,Surf Life Saving NSW Annual Report 2023/24,https://www.surflifesaving.com.au/wp-content/uploads/sites/2/2024/10/2024-Surf-Life-Saving-NSW-Annual-Report.pdf,77
